"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.140089333E0,4.475692749E-1,4.966671753E-1,-1.120120697E0,1.304479557E0
3.150094333E0,3.773652649E-1,7.138655090E-1,-7.372169495E-1,1.093388009E0
3.160099333E0,1.892065430E-1,8.342152405E-1,-3.278182983E-1,9.160671482E-1
3.170103333E0,2.674937439E-1,9.132508850E-1,7.050338745E-2,9.542278604E-1
3.180108333E0,2.454895020E-1,1.073118439E0,2.505789185E-1,1.128998704E0
3.190113333E0,2.145039368E-1,1.047970734E0,3.716770935E-1,1.132430333E0
3.200117333E0,3.872447205E-1,9.859996033E-1,3.052153015E-1,1.102411027E0
3.210122333E0,3.890409851E-1,1.010997620E0,3.514691162E-1,1.138858909E0
3.220127333E0,2.372566223E-1,9.256750488E-1,6.400689697E-1,1.150153593E0
3.230131333E0,2.213896179E-1,8.833131409E-1,8.078700256E-1,1.217337031E0
3.240136333E0,1.781295776E-1,9.081614685E-1,1.054706726E0,1.403172718E0
