"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.092698167E0,-7.708969116E-2,1.871408386E0,1.039228912E1,1.055972468E1
2.102703167E0,-1.023870850E-1,1.997146912E0,1.006192612E1,1.025872488E1
2.112709167E0,-3.041674805E-1,2.205663300E0,9.843230896E0,1.009191077E1
2.122714167E0,-7.804769897E-1,2.375559998E0,9.813293152E0,1.012685302E1
2.132719167E0,-1.231638794E0,2.421514435E0,1.003288651E1,1.039420405E1
2.142725167E0,-1.410217438E0,2.224823456E0,1.044947021E1,1.077636211E1
2.152730167E0,-1.401236115E0,1.779499512E0,1.095287338E1,1.118461070E1
2.162736167E0,-1.191372528E0,1.239721985E0,1.153546188E1,1.166289672E1
2.172741167E0,-7.370672607E-1,7.030879211E-1,1.189681046E1,1.194033918E1
2.182746167E0,-2.333647156E-1,2.501298523E-1,1.185025726E1,1.185519385E1
2.192752167E0,1.044827271E-1,4.969665527E-2,1.159713364E1,1.159771076E1
2.202757167E0,1.203497314E-1,1.962419128E-1,1.107906097E1,1.108145239E1
2.212762167E0,7.185058594E-3,5.325924683E-1,1.028481262E1,1.029859588E1
2.222768167E0,-1.525328064E-1,9.407936096E-1,9.516759796E0,9.564364897E0
2.232773167E0,-5.382806396E-1,1.423539734E0,8.765172729E0,8.896317463E0
2.242778167E0,-9.171427917E-1,1.782493286E0,8.252937927E0,8.492903958E0
2.252784167E0,-1.122366028E0,2.011517029E0,7.920329590E0,8.248486350E0
2.262785792E0,-1.114432526E0,2.121987305E0,7.824977875E0,8.183829710E0
2.272791792E0,-1.040186920E0,2.088756409E0,7.908354492E0,8.245420725E0
2.282796792E0,-9.665400696E-1,2.005828857E0,8.057743835E0,8.359712006E0
2.292801792E0,-8.725355530E-1,1.950444031E0,8.284522247E0,8.555633178E0
2.302807792E0,-8.008346558E-1,1.899699554E0,8.611741791E0,8.855071497E0
2.312812792E0,-7.884104919E-1,1.852098541E0,8.951834564E0,9.175358422E0
2.322817792E0,-5.905220032E-1,1.789528656E0,9.352850647E0,9.540804173E0
2.332823792E0,-3.749702454E-1,1.669627991E0,9.771829376E0,9.920529707E0
2.342828792E0,-1.420545959E-1,1.510209503E0,1.015727783E1,1.026991749E1
2.352833792E0,1.661544800E-2,1.349443817E0,1.049662216E1,1.058302185E1
2.362839792E0,1.044827271E-1,1.163081360E0,1.078162949E1,1.084468576E1
2.372844792E0,3.162922668E-1,9.723779297E-1,1.095332245E1,1.100094688E1
2.382850792E0,4.462220764E-1,8.550219727E-1,1.098775085E1,1.102999753E1
2.392855792E0,4.749623108E-1,8.574169922E-1,1.081785416E1,1.086216929E1
2.402860792E0,5.019062805E-1,9.698332214E-1,1.050126251E1,1.055788808E1
2.412866792E0,4.448748779E-1,1.135688324E0,1.009605515E1,1.016946563E1
2.422871792E0,2.945874023E-1,1.380130005E0,9.725276184E0,9.827132716E0
2.432876792E0,7.469467163E-2,1.667382660E0,9.423204346E0,9.569875881E0
2.442882792E0,3.622467041E-2,1.849104767E0,9.131610718E0,9.317017493E0
2.452887792E0,-1.541793823E-2,2.000440063E0,8.893755341E0,9.115968529E0
2.462893792E0,-2.083666992E-1,2.086211700E0,8.661737823E0,8.911868382E0
2.472898792E0,-3.629951477E-1,2.099533997E0,8.517138519E0,8.779604606E0
2.482903792E0,-3.309617615E-1,2.139949951E0,8.590186615E0,8.858906680E0
2.492909792E0,-3.842509460E-1,2.209704895E0,8.731792145E0,9.015244787E0
2.502914792E0,-4.517605591E-1,2.018402710E0,8.944649506E0,9.180674914E0
2.512919792E0,-3.299139404E-1,1.577270050E0,9.213340759E0,9.353195816E0
2.522925792E0,-7.902067566E-1,2.311193848E0,9.122330017E0,9.443672414E0
2.532930792E0,-5.415737915E-1,2.219584351E0,9.478439484E0,9.749906251E0
2.542935792E0,-4.822970581E-1,1.859732666E0,9.586215363E0,9.776847192E0
2.552941792E0,-5.011578369E-1,1.928140411E0,9.547595673E0,9.753228581E0
2.562946792E0,-4.357438660E-1,1.994153137E0,9.773625641E0,9.984501871E0
2.572951792E0,-5.671705627E-1,1.885179749E0,9.887089691E0,1.008117690E1
2.582957792E0,-7.247927856E-1,1.749112701E0,9.977052612E0,1.015511195E1
2.592962792E0,-9.560618591E-1,1.795366516E0,1.018841309E1,1.038947335E1
2.602968792E0,-1.050964508E0,1.927092590E0,1.007644592E1,1.031275786E1
2.612973792E0,-1.011147308E0,1.974094849E0,9.701775055E0,9.952080615E0
2.622978792E0,-9.500743103E-1,1.883533173E0,9.404642944E0,9.638342561E0
2.632984792E0,-6.562353516E-1,1.680555267E0,9.389075317E0,9.560839197E0
2.642989792E0,-2.797682190E-1,1.540296936E0,9.491013336E0,9.619257719E0
2.652994792E0,-2.656974792E-1,1.699715424E0,9.568103027E0,9.721533995E0
2.663000792E0,-3.728746033E-1,1.750609589E0,9.627828827E0,9.792791089E0
2.673005792E0,-2.336640930E-1,1.687291260E0,9.911638641E0,1.005694443E1
2.683011792E0,5.403762817E-2,1.457968140E0,1.018272491E1,1.028671366E1
2.693016792E0,2.180964661E-1,1.224753113E0,1.012988480E1,1.020598610E1
2.703021792E0,1.901046753E-1,1.273851013E0,9.954150238E0,1.003712823E1
2.713027792E0,1.193019104E-1,1.442699890E0,9.858199768E0,9.963920844E0
2.723032792E0,2.933898926E-2,1.615590363E0,9.734706573E0,9.867902769E0
2.733037792E0,-9.101074219E-2,1.920057220E0,9.268276520E0,9.465508562E0
2.743043792E0,-3.531156921E-1,2.221679993E0,8.769513702E0,9.053448142E0
2.753048792E0,-6.948550415E-1,2.318229218E0,8.723259888E0,9.052749489E0
2.763053792E0,-9.463320923E-1,2.280208282E0,8.871601410E0,9.208702722E0
2.773059792E0,-9.680369568E-1,2.113754425E0,9.256301422E0,9.543802666E0
2.783064792E0,-8.090675354E-1,1.714833984E0,1.007869125E1,1.025549917E1
2.793070792E0,-5.707630920E-1,1.072968750E0,1.116124008E1,1.122721304E1
2.803075792E0,-1.333726501E-1,3.932322693E-1,1.207853256E1,1.208566791E1
2.813080792E0,6.207591248E-1,-2.215393066E-1,1.257969040E1,1.259694535E1
2.823086792E0,1.427132263E0,-7.042854309E-1,1.239991425E1,1.250162381E1
2.833091792E0,1.995650024E0,-8.496331787E-1,1.166494263E1,1.186488020E1
2.843096792E0,2.104473724E0,-5.724096680E-1,1.085707260E1,1.107395539E1
2.853102792E0,1.685045929E0,6.870712280E-2,1.011940659E1,1.025897120E1
2.863107792E0,1.049018555E0,7.929011536E-1,9.420659637E0,9.511990337E0
2.873113792E0,3.611988831E-1,1.379082184E0,8.686137085E0,8.802346833E0
2.883118792E0,-2.827619934E-1,1.826202393E0,8.157586212E0,8.364280144E0
2.893123792E0,-6.120771790E-1,2.149979095E0,7.839797058E0,8.152267568E0
2.903129792E0,-5.776487732E-1,2.200274506E0,7.747738495E0,8.074796455E0
2.913134792E0,-4.508624268E-1,2.013163605E0,7.916138306E0,8.180547066E0
2.923139792E0,-3.330574036E-1,1.793270874E0,8.201894073E0,8.402250535E0
2.933145792E0,-1.103205872E-1,1.582359467E0,8.502768402E0,8.649456781E0
2.943150792E0,2.460882568E-1,1.366957397E0,9.026080170E0,9.132319267E0
2.953156792E0,5.676196289E-1,1.114282837E0,9.804910583E0,9.884335579E0
2.963161792E0,7.250921631E-1,8.894503784E-1,1.052386551E1,1.058624702E1
2.973166792E0,9.259744263E-1,7.020401001E-1,1.089045319E1,1.095227189E1
2.983172792E0,1.028810577E0,5.502557373E-1,1.101768860E1,1.107929125E1
2.993177792E0,1.044378204E0,4.197271729E-1,1.098849930E1,1.104599536E1
3.003182792E0,9.229806519E-1,4.733157349E-1,1.073612411E1,1.078611525E1
3.013188792E0,7.174580383E-1,6.587800598E-1,1.034229309E1,1.038805870E1
3.023193792E0,5.337899780E-1,8.544232178E-1,9.931996307E0,9.982961556E0
3.033199792E0,2.642005920E-1,1.059197388E0,9.479636993E0,9.542285816E0
3.043204792E0,2.844085693E-2,1.288071442E0,9.087602234E0,9.178477612E0
3.053209792E0,-1.871109009E-2,1.415306854E0,8.971892853E0,9.082857753E0
3.063215792E0,5.538482666E-3,1.475930786E0,8.920699310E0,9.041973156E0
3.073220792E0,-2.679428101E-2,1.562450867E0,8.846603394E0,8.983560666E0
3.083225792E0,-8.622070312E-2,1.605561218E0,8.868008881E0,9.012593541E0
3.093231792E0,-9.789642334E-2,1.544338531E0,8.953181763E0,9.085924768E0
3.103236792E0,2.903961182E-2,1.494192810E0,9.095086670E0,9.217052511E0
3.113241792E0,9.190887451E-2,1.525178375E0,9.231752472E0,9.357343107E0
3.123247792E0,1.269360352E-1,1.553170166E0,9.390721893E0,9.519144289E0
3.133252792E0,2.032772827E-1,1.566492462E0,9.461374969E0,9.592332177E0
3.143258792E0,2.686912537E-1,1.610201569E0,9.564959564E0,9.703267261E0
3.153263792E0,3.523672485E-1,1.647024994E0,9.668693848E0,9.814300522E0
3.163268792E0,4.038601685E-1,1.671124878E0,9.709558868E0,9.860593025E0
3.173274792E0,3.414399719E-1,1.583556976E0,9.833351440E0,9.965893563E0
3.183279792E0,3.549119568E-1,1.455423431E0,9.982441406E0,1.009422391E1
3.193285792E0,3.438349915E-1,1.372944946E0,9.927056580E0,1.002744497E1
3.203290792E0,3.150947571E-1,1.273102570E0,9.895023193E0,9.981560943E0
3.213295792E0,3.224295044E-1,1.209634552E0,9.882149963E0,9.961127669E0
3.223301792E0,2.857557678E-1,1.254092102E0,9.741741943E0,9.826288183E0
3.233306792E0,1.773811340E-1,1.354533234E0,9.691296844E0,9.787106767E0
3.243311792E0,1.184037781E-1,1.435365143E0,9.697883148E0,9.804245514E0
